step,HEK_Experiment_0,HEK_Experiment_1,HEK_Experiment_2,HEK_Experiment_3,HEK_Experiment_4,iPS_Experiment_0,iPS_Experiment_1,iPS_Experiment_2,iPS_Experiment_3,iPS_Experiment_4
step_00000285,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000286,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000287,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000288,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000289,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000290,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000291,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000292,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000293,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000294,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000295,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000296,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000297,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000298,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000299,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000300,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000301,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000302,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000303,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000304,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000305,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000306,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000307,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000308,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000309,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000310,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000311,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000312,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000313,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000314,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000315,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000316,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000317,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000318,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000319,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000320,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000321,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000322,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000323,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000324,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000325,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000326,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000327,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000328,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
